"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions",Universe,"Variable List"
"Tax filers and dependants with income by total income, sex and age",11100008,111-0008,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110000801",1;2;3;4;5,"CURRENT - a cube available to the public and that is current",Annual,2000-01-01,2017-01-01,4,,

"Dimension ID","Dimension name","Dimension Notes","Dimension Correction Notes","Dimension Definitions"
1,Geography,11,,
2,Sex,,,
3,"Age group",4;10,,
4,"Persons with income",5,,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Correction Notes","Member Geo Attribute Keys","Member Definitions"
1,"Ingersoll, Ontario",[533],104,16,,,,,
1,"Woodstock, Ontario",[544],105,16,,,,,
1,"Tillsonburg, Ontario",[546],106,16,,,,,
1,"Norfolk, Ontario",[547],107,16,,,,,
1,"Stratford, Ontario",[553],108,16,,,,,
1,"Chatham-Kent, Ontario",[556],109,16,,,,,
1,"Leamington, Ontario",[557],110,16,,,,,
1,"Sarnia, Ontario",[562],111,16,,,,,
1,"Owen Sound, Ontario",[566],112,16,,,,,
1,"Collingwood , Ontario",[567],113,16,,,,,
1,"Orillia, Ontario",[569],114,16,,,,,
1,"Midland, Ontario",[571],115,16,,,,,
1,"North Bay, Ontario",[575],116,16,,,,,
1,"Elliot Lake, Ontario",[582],117,16,,,,,
1,"Temiskaming Shores, Ontario",[584],118,16,t,8,,,
1,"Timmins, Ontario",[586],119,16,,,,,
1,"Sault Ste. Marie, Ontario",[590],120,16,,,,,
1,"Kenora, Ontario",[598],121,16,,,,,
1,"Non CMA-CA, Ontario",[35500],122,16,,,,,
1,"Portage la Prairie, Manitoba",[607],123,27,,,,,
1,"Brandon, Manitoba",[610],124,27,,,,,
1,"Thompson, Manitoba",[640],125,27,,,,,
1,"Non CMA-CA, Manitoba",[46600],126,27,,,,,
1,"Yorkton, Saskatchewan",[710],127,29,,,,,
1,"Moose Jaw, Saskatchewan",[715],128,29,,,,,
1,"Swift Current, Saskatchewan",[720],129,29,,,,,
1,"North Battleford, Saskatchewan",[735],130,29,,,,,
1,"Prince Albert, Saskatchewan",[745],131,29,,,,,
1,"Estevan, Saskatchewan",[750],132,29,,,,,
1,"Lloydminster, Saskatchewan part",[47840],133,29,,7,,,
1,"Non CMA-CA, Saskatchewan",[47700],134,29,,,,,
1,"Medicine Hat, Alberta",[805],135,32,,,,,
1,"Brooks, Alberta",[806],136,32,,,,,
1,"Lethbridge, Alberta",[810],137,32,,,,,
1,"Okotoks, Alberta",[820],138,32,,,,,
1,"Canmore, Alberta",[828],139,32,,,,,
1,"Red Deer, Alberta",[830],140,32,,,,,
1,"Camrose, Alberta",[833],141,32,,,,,
1,"Lloydminster, Alberta part",[48840],142,32,,7,,,
1,"Cold Lake, Alberta",[845],143,32,,,,,
1,"Grande Prairie, Alberta",[850],144,32,,,,,
1,"Wood Buffalo, Alberta",[860],145,32,,,,,
1,"Wetaskiwin, Alberta",[865],146,32,,,,,
1,"Non CMA-CA, Alberta",[48800],147,32,,,,,
1,"Cranbrook, British Columbia",[905],148,35,,,,,
1,"Penticton, British Columbia",[913],149,35,,,,,
1,"Vernon, British Columbia",[918],150,35,,,,,
1,"Salmon Arm, British Columbia",[920],151,35,,,,,
1,"Kamloops, British Columbia",[925],152,35,,,,,
1,"Chilliwack, British Columbia",[930],153,35,,,,,
1,"Squamish, British Columbia",[934],154,35,,,,,
1,"Duncan, British Columbia",[937],155,35,,,,,
1,"Nanaimo, British Columbia",[938],156,35,,,,,
1,"Parksville, British Columbia",[939],157,35,,,,,
1,"Port Alberni, British Columbia",[940],158,35,,,,,
1,"Courtenay, British Columbia",[943],159,35,,,,,
1,"Campbell River, British Columbia",[944],160,35,,,,,
1,"Powell River, British Columbia",[945],161,35,,,,,
1,"Williams Lake, British Columbia",[950],162,35,,,,,
1,"Quesnel, British Columbia",[952],163,35,,,,,
1,"Prince Rupert, British Columbia",[955],164,35,,,,,
1,"Kitimat, British Columbia",[960],165,35,t,,,,
1,"Terrace, British Columbia",[965],166,35,,,,,
1,"Prince George, British Columbia",[970],167,35,,,,,
1,"Dawson Creek, British Columbia",[975],168,35,,,,,
1,"Fort St. John, British Columbia",[977],169,35,,,,,
1,"Non CMA-CA, British Columbia",[59900],170,35,,,,,
1,"Whitehorse, Yukon",[990],171,38,,,,,
1,"Non CMA-CA, Yukon",[60A00],172,38,,,,,
1,"Yellowknife, Northwest Territories",[995],173,39,,,,,
1,"Non CMA-CA, Northwest Territories",[61B00],174,39,,,,,
1,"Campbellton, combined NewBrunswick/Quebec",[330],175,1,,7,,,
1,"Hawkesbury, combined Ontario/Quebec",[502],176,1,,7,,,
1,"Ottawa - Gatineau, combined Ontario/Quebec",[505],177,1,,7,,,
1,"Lloydminster, combined Alberta/Saskatchewan",[840],178,1,,7,,,
1,"Steinbach, Manitoba",[605],179,27,,,,,
1,"High River, Alberta",[821],180,32,,,,,
1,"Strathmore, Alberta",[826],181,32,,,,,
1,"Sylvan Lake, Alberta",[831],182,32,,,,,
1,"Lacombe, Alberta",[832],183,32,,,,,
1,"Gander, Newfoundland and Labrador",[011],184,2,,,,,
1,"Sainte-Marie, Quebec",[423],185,9,,,,,
1,"Arnprior, Ontario",[507],186,16,,,,,
1,"Carleton Place, Ontario",[509],187,16,,,,,
1,"Wasaga Beach, Ontario",[565],188,16,,,,,
1,"Winkler, Manitoba",[603],189,27,,,,,
1,"Weyburn, Saskatchewan",[755],190,29,,,,,
1,"Nelson, British Columbia",[907],191,35,,,,,
2,"Both sexes",,1,,,,,,
2,Males,,2,1,,,,,
2,Females,,3,1,,,,,
3,"All age groups",,1,,,4;10,,,
3,"0 to 24 years",,2,1,,4;10,,,
3,"25 to 34 years",,3,1,,4,,,
3,"35 to 44 years",,4,1,,4,,,
3,"45 to 54 years",,5,1,,4,,,
3,"55 to 64 years",,6,1,,4,,,
3,"65 to 74 years",,7,1,t,4,,,
3,"75 years and over",,8,1,t,4,,,
3,"65 years and over",,9,1,,,,,
4,"Total persons with income",,1,,,5,,,
4,"Persons with income under $5,000",,2,1,,5,,,
4,"Persons with income of $5,000 and over",,3,1,,5,,,
4,"Persons with income of $10,000 and over",,4,1,,5,,,
4,"Persons with income of $15,000 and over",,5,1,,5,,,
4,"Persons with income of $20,000 and over",,6,1,,5,,,
4,"Persons with income of $25,000 and over",,7,1,,5,,,
4,"Persons with income of $35,000 and over",,8,1,,5,,,
4,"Persons with income of $50,000 and over",,9,1,,5,,,
4,"Persons with income of $75,000 and over",,10,1,,5,,,
4,"Persons with income of $100,000 and over",,11,1,,5,,,
4,"Persons with income of $150,000 and over",,12,1,,5,,,
4,"Persons with income of $200,000 and over",,13,1,,5,,,
4,"Persons with income of $250,000 and over",,14,1,,5,,,
4,"Median total income",,15,,,5;6,,,
4,"5-year percent change of median income",,16,,t,5;6,,,

Symbol Legend
Description,Symbol
"not available for a specific reference period",..
"less than the limit of detection",<LOD
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded",0s
"data quality: excellent",A
"data quality: very good",B
"data quality: good",C
"data quality: acceptable",D
"use with caution",E
"too unreliable to be published.",F
"not applicable",...
preliminary,p
revised,r
"suppressed to meet the confidentiality requirements of the Statistics Act",x
terminated,t

"Survey Code","Survey Name"
4105,"Annual Income Estimates for Census Families and Individuals (T1 Family File)"

"Subject Code","Subject Name"
11,"Income, pensions, spending and wealth"

"Note ID",Note
1,"Information on the data source, the historical availability, definitions of the terms used, and the geographies available can be found at <a href=""http://www5.statcan.gc.ca/olc-cel/olc?ObjId=72-212-X&ObjType=2&lang=en&limit=0""> Technical Reference Guide for the Annual Income Estimates for Census Families, Individuals and Seniors</a>. Because they are based on a different methodology, estimates of the number of individuals and census families presented in this table differ from estimates produced by Demography Division. For questions and comments, please contact the Income Statistics Division of Statistics Canada (income@statcan.gc.ca)."
2,"Tax filers are people who filed a tax return for the reference year and were alive at the end of the year."
3,"Dependant is a member of a family who did not file a personal income tax return for the referenced year."
4,"Characteristics such as age are as of December 31 of the reference year."
5,"Total income is income from all sources. A detailed definition of what is included in total income is available from the <a href=""http://www5.statcan.gc.ca/olc-cel/olc?ObjId=72-212-X&ObjType=2&lang=en&limit=0""> Technical Reference Guide for the Annual Income Estimates for Census Families, Individuals and Seniors</a>."
6,"Median is the middle number in a group of numbers. Where a median income, for example, is given as $26,000, it means that exactly half of the incomes reported are greater than or equal to $26,000, and that the other half is less than or equal to the median amount. Starting in 2007, median incomes in the data tables are rounded to the nearest ten dollars (prior to 2007 they were rounded to the nearest hundred dollars). Zero values are not included in the calculation of medians for individuals."
7,"The census metropolitan area (CMA) of Ottawa-Gatineau straddles the provincial borders of Ontario and Quebec. Three census agglomerations (CA) also straddle provincial borders: Campbellton straddles New Brunswick and Quebec, Hawkesbury straddles Ontario and Quebec, and Lloydminster straddles Alberta and Saskatchewan. Data for the combined provincial parts are provided at the end of the list of CMAs and CAs. Prior to 2008, data for the two parts of the Ottawa-Gatineau CMA may be added together to provide a total for the area, with the exception of medians, percentages, indexes and averages."
8,"Saguenay, formerly Chicoutimi-Jonquière; Greater Sudbury, formerly Sudbury; Kitchener-Cambridge-Waterloo, formerly Kitchener; Abbotsford-Mission, formerly Abbotsford; Temiskaming Shores, formerly Haileybury."
10,"Information for children between 0 and 18 years of age are derived from a variety of sources, including the tax file, a file pertaining to Federal Child Benefits and provincial birth files."
11,"The Census Standard Geographical Classification (SGC) is used for data dissemination of the census metropolitan areas and the census agglomerations: from 1997 to 2001, SGC 1996; from 2002 to 2006, SGC 2001; from 2007 to 2011, SGC 2006; from 2012 to 2015, SGC 2011; as of 2016, SGC 2016. Please note that census agglomerations were introduced in this CANSIM table in 2008."
12,"As of 2016, the census agglomeration (CA) of Saint-Jean-sur-Richelieu has been merged into the census metropolitan area (CMA) of Montréal."

"Dimension ID","Member ID","Attribute Key",Title,Label,"Long Label",Value


